,country,female_fulltime_pct,male_fulltime_pct,total_fulltime_pct,care_time_female,care_time_male,care_time_total
0,Afghanistan,2.18669501,10.76446429,9.280890588,,,
1,Albania,37.01618493,38.86825284,38.08548096,21.73611,3.47222,12.604165
2,Algeria,66.40269916,64.29946283,64.67283966,21.66667,3.75,12.708335
3,American Samoa,,,,,,
4,Andorra,,,,,,
5,Angola,16.62702121,37.4943732,27.22949068,,,
6,Antigua and Barbuda,,,,,,
7,Argentina,77.97497652,70.90761655,73.75804776,19.21825,7.318976667,13.26861333
8,Armenia,32.41776003,34.7544253,33.54493991,22.843055,4.47708,13.6600675
9,Aruba,,,,,,
10,Australia,88.53057282,81.40503512,84.5820527,20.83333,11.38889,16.11111
11,Austria,87.7682228,84.62403928,86.06509688,19.06954,10.05396,14.56175
12,Azerbaijan,28.13137403,36.3935605,32.3163291,25.41667,8.88889,17.15278
13,"Bahamas, The",89.30413846,80.24175508,84.490976,,,
14,Bahrain,97.74247358,95.8486008,96.19911727,,,
15,Bangladesh,22.45086111,39.96516366,35.53182547,,,
16,Barbados,89.81841033,80.57418526,85.01784036,,,
17,Belarus,97.55096055,93.56071558,95.58459472,19.16667,9.51389,14.34028
18,Belgium,87.06490555,82.08062925,84.28012365,15.64815,9.513886667,12.58101833
19,Belize,73.02841566,65.89502236,68.12237963,,,
20,Benin,13.38701198,26.00161114,20.22918886,,,
21,Bermuda,,,,,,
22,Bhutan,19.57173532,33.14773898,27.58841033,14.131945,5.48611,9.8090275
23,Bolivia,28.31260656,40.17703361,35.16412953,23.11926,12.13362,17.62644
24,Bosnia and Herzegovina,71.57831935,75.3078959,74.03900269,,,
25,Botswana,70.36530455,73.19895351,71.97609663,,,
26,Brazil,69.0916451,62.86429089,65.34610566,14.14355333,4.713246667,9.4284
27,British Virgin Islands,,,,,,
28,Brunei Darussalam,94.05455889,92.51575635,93.09059821,,,
29,Bulgaria,88.73495835,82.92152799,85.67978626,19.6875,10.069445,14.8784725
30,Burkina Faso,4.805465245,9.41781338,7.332207393,,,
31,Burundi,3.989620475,21.70048228,12.46875746,,,
32,Cabo Verde,40.67777835,59.04659313,51.69087079,,,
33,Cambodia,19.61507406,29.04333077,24.48280419,12.5,1.25,6.875
34,Cameroon,9.495142401,27.29134004,18.74489701,15.82086,4.56784,10.19435
35,Canada,88.29745915,80.88749827,84.34202315,15.69444333,10,12.84722167
36,Cayman Islands,,,,,,
37,Central African Republic,2.247679613,10.13375348,6.635156777,,,
38,Chad,1.668809059,10.69555602,6.781624675,,,
39,Channel Islands,87.94563214,80.86954982,83.94277296,,,
40,Chile,74.48635985,72.71678286,73.33411676,19.015275,7.4602,13.2377375
41,China,44.15537713,41.1754331,42.53089461,15.76389,6.07639,10.92014
42,Colombia,50.90828821,48.91880129,49.69883361,11.28109,3.73465,7.50787
43,Comoros,19.52576776,40.71828154,32.57306439,,,
44,"Congo, Dem. Rep.",5.046882163,20.13875227,12.61222634,,,
45,"Congo, Rep.",8.367343287,35.36194216,22.12659155,,,
46,Costa Rica,76.28129143,72.22490243,73.61302254,22.14571,8.37858,15.262145
47,Cote d'Ivoire,8.518345073,26.77469153,19.72938065,,,
48,Croatia,79.10317023,76.41095945,77.62091752,,,
49,Cuba,88.61433705,84.20730732,85.81106839,18.65972,8.90873,13.784225
50,Curacao,,,,,,
51,Cyprus,85.64499214,74.47396511,79.06981648,,,
52,Czechia,89.6431738,81.38946046,84.97272489,,,
53,Denmark,94.26560909,87.62676201,90.71874937,15.104165,10.694445,12.899305
54,Djibouti,27.87583249,46.727216,42.86779623,,,
55,Dominica,,,,,,
56,Dominican Republic,68.58109231,49.32818452,55.84627108,16.70887,3.78561,10.24724
57,Ecuador,44.87968764,58.53994371,53.31686854,19.74505,4.72192,12.233485
58,"Egypt, Arab Rep.",55.22639355,61.89064834,60.5327654,22.36111,2.43056,12.395835
59,El Salvador,51.60162139,62.5001645,58.09739904,21.48037,7.437205,14.4587875
60,Equatorial Guinea,8.620343243,16.35622947,13.08076496,,,
61,Eritrea,14.38461489,37.89486933,26.91280864,,,
62,Estonia,95.42005052,89.52348469,92.41454224,18.57639,10.972225,14.7743075
63,Eswatini,64.2524471,78.08812125,71.92582305,,,
64,Ethiopia,8.148321358,12.15441856,10.35686467,19.30556,6.59722,12.95139
65,Faroe Islands,,,,,,
66,Fiji,58.37122435,60.05367279,59.48717401,15.15812,5.19476,10.17644
67,Finland,90.61692566,81.75652527,86.005545,15.5125,10.25625,12.884375
68,France,91.24653777,85.08021264,87.93162665,15.77314,9.49464,12.63389
69,French Polynesia,83.82679943,75.13553081,78.5890303,,,
70,Gabon,49.07898619,66.60280242,59.98745355,,,
71,"Gambia, The",12.67221943,31.61299458,23.83379937,,,
72,Georgia,42.42782099,42.64854108,42.54456902,,,
73,Germany,91.68140454,86.69632432,88.94033607,17.0375,10.439585,13.7385425
