,country,female_fulltime_pct,male_fulltime_pct,total_fulltime_pct,care_time_female,care_time_male,care_time_total
1,Albania,37.01618493,38.86825284,38.08548096,21.73611,3.47222,12.604165
7,Argentina,77.97497652,70.90761655,73.75804776,19.21825,7.318976667,13.26861333
8,Armenia,32.41776003,34.7544253,33.54493991,22.843055,4.47708,13.6600675
10,Australia,88.53057282,81.40503512,84.5820527,20.83333,11.38889,16.11111
11,Austria,87.7682228,84.62403928,86.06509688,19.06954,10.05396,14.56175
12,Azerbaijan,28.13137403,36.3935605,32.3163291,25.41667,8.88889,17.15278
17,Belarus,97.55096055,93.56071558,95.58459472,19.16667,9.51389,14.34028
18,Belgium,87.06490555,82.08062925,84.28012365,15.64815,9.513886667,12.58101833
22,Bhutan,19.57173532,33.14773898,27.58841033,14.131945,5.48611,9.8090275
23,Bolivia,28.31260656,40.17703361,35.16412953,23.11926,12.13362,17.62644
26,Brazil,69.0916451,62.86429089,65.34610566,14.14355333,4.713246667,9.4284
29,Bulgaria,88.73495835,82.92152799,85.67978626,19.6875,10.069445,14.8784725
33,Cambodia,19.61507406,29.04333077,24.48280419,12.5,1.25,6.875
35,Canada,88.29745915,80.88749827,84.34202315,15.69444333,10,12.84722167
40,Chile,74.48635985,72.71678286,73.33411676,19.015275,7.4602,13.2377375
41,China,44.15537713,41.1754331,42.53089461,15.76389,6.07639,10.92014
42,Colombia,50.90828821,48.91880129,49.69883361,11.28109,3.73465,7.50787
46,Costa Rica,76.28129143,72.22490243,73.61302254,22.14571,8.37858,15.262145
49,Cuba,88.61433705,84.20730732,85.81106839,18.65972,8.90873,13.784225
53,Denmark,94.26560909,87.62676201,90.71874937,15.104165,10.694445,12.899305
56,Dominican Republic,68.58109231,49.32818452,55.84627108,16.70887,3.78561,10.24724
57,Ecuador,44.87968764,58.53994371,53.31686854,19.74505,4.72192,12.233485
58,"Egypt, Arab Rep.",55.22639355,61.89064834,60.5327654,22.36111,2.43056,12.395835
59,El Salvador,51.60162139,62.5001645,58.09739904,21.48037,7.437205,14.4587875
62,Estonia,95.42005052,89.52348469,92.41454224,18.57639,10.972225,14.7743075
66,Fiji,58.37122435,60.05367279,59.48717401,15.15812,5.19476,10.17644
67,Finland,90.61692566,81.75652527,86.005545,15.5125,10.25625,12.884375
68,France,91.24653777,85.08021264,87.93162665,15.77314,9.49464,12.63389
73,Germany,91.68140454,86.69632432,88.94033607,17.0375,10.439585,13.7385425
76,Greece,64.32444447,58.35578952,60.6722288,18.125,7.01389,12.569445
80,Guatemala,44.39614097,57.29477024,52.99471712,18.624875,2.48144,10.5531575
85,Honduras,44.12908208,49.14931927,47.44191762,17.29571,4.31393,10.80482
86,"Hong Kong SAR, China",94.36175331,85.25911579,89.24475046,12.291665,3.95833,8.1249975
87,Hungary,89.06785445,83.22643318,85.87260886,18.395315,9.510635,13.952975
91,"Iran, Islamic Rep.",51.50911828,54.54107405,54.0038099,21.04167,5.20833,13.125
92,Iraq,59.04547489,66.67485423,65.70030159,24.09722,4.16667,14.131945
93,Ireland,91.37749556,74.29351456,81.44464592,20.55556,8.95833,14.756945
96,Italy,78.76758816,69.757159,73.28341033,21.13333333,7.8,14.46666667
98,Japan,85.29365708,85.37907072,85.36694046,15.4861125,2.7777775,9.131945
100,Kazakhstan,61.81530544,66.06488449,64.00552509,23.666664,12.041664,17.854164
104,"Korea, Rep.",66.8836465,66.69856734,66.80107463,14.5125,3.169906667,8.841203333
107,Kyrgyz Republic,54.14537739,50.69680563,52.21254651,21.7534725,9.8263875,15.78993
108,Lao PDR,10.00887181,18.45729045,14.46679535,11.109285,4.1823625,7.64582375
109,Latvia,88.97165725,85.08890247,87.02163787,18.26389,9.09722,13.680555
115,Lithuania,86.84226549,81.72350467,84.28073549,18.68056,8.95694,13.81875
116,Luxembourg,91.92314577,90.11481329,90.8730904,14.44444,7.08333,10.763885
120,Malaysia,75.39603876,73.6167883,74.23463305,19.09722,5.97222,12.53472
123,Malta,93.6456483,83.07530079,86.52411258,18.75,7.01389,12.881945
127,Mexico,63.5930258,63.38576493,63.41581738,29.89174333,8.834193333,19.36296833
129,Moldova,54.88996994,55.95367736,55.40008684,20.13841,11.2725,15.705455
131,Mongolia,46.66793308,40.09508163,43.16871194,19.3375,8.16736,13.75243
139,Netherlands,88.99752636,84.24802487,86.37049218,15.4513875,8.88889,12.17013875
141,New Zealand,84.62794982,72.63528812,78.13484695,18.05556,10.55556,14.30556
145,North Macedonia,77.89733111,72.94236694,74.85718992,19.56018667,6.52778,13.04398333
147,Norway,95.01476047,89.45616473,92.06470082,15.30833,12.33333,13.82083
149,Pakistan,28.47397041,40.54743494,38.28207713,19.86111,1.80556,10.833335
151,Panama,69.69203706,63.45377681,65.68403421,17.95164,7.57184,12.76174
153,Paraguay,49.06887132,49.33237902,49.21619504,14.52502,4.27041,9.397715
154,Peru,34.94029831,46.5632982,41.57190488,23.56031,8.94605,16.25318
156,Poland,77.35652786,72.52415882,74.68715791,19.027085,9.89514,14.4611125
157,Portugal,78.14848416,73.42739504,75.64581653,17.81135,10.2414,14.026375
160,Romania,62.95911992,66.35819018,64.75998205,19.930555,9.479165,14.70486
161,Russian Federation,95.80374693,94.2806728,95.0218167,18.40278,8.125,13.26389
168,Serbia,66.07832667,63.1640904,64.43541769,19.7022,9.089865,14.3960325
174,Slovenia,86.62668417,80.95701159,83.57050977,20.55556,11.11111,15.833335
179,Spain,83.63212911,77.70428545,80.15331978,19.72222,7.67361,13.697915
187,Sweden,93.80769633,84.64835647,89.02670495,16.84651,12.762705,14.8046075
188,Switzerland,85.74377816,81.57971677,83.44533095,17.375695,10.34097333,13.85833417
192,Thailand,39.53769464,42.29215834,41.04197314,12.305555,3.57639,7.9409725
198,Turkiye,45.00116322,59.64690589,55.57596996,20.577355,3.628635,12.102995
205,United Kingdom,91.33427098,82.13017596,86.36483681,13.743775,7.55516,10.6494675
206,United States,95.65624329,89.8848402,92.53322761,15.815105,9.705729375,12.76041719
207,Uruguay,75.85438085,69.09094576,71.91703291,22.54154,9.0498,15.79567
213,West Bank and Gaza,59.56022646,65.75169527,64.73351291,21.631945,3.090275,12.36111
