,country,payroll_pop,infant_mort,birth_rate,age_dependency,care_hrs_female,care_hrs_male,fertility,payroll_pop_pct,net_fertility,fertility_aging_net
25,Japan,36,2.3,8.3,38.11173271,15.625,2.98611,1.39,0.36,8.28091,21.72798089
39,Germany,32,3.4,8.3,30.86726855,,,1.39,0.32,8.27178,26.79790079
63,Italy,25,3.3,9.2,31.59476187,,,1.44,0.25,9.16964,29.022659
26,Portugal,36,3,9.2,28.63821872,,,1.35,0.36,9.1724,32.02852834
71,Greece,23,3.5,9.6,29.81660552,,,1.4,0.23,9.5664,32.08413511
13,Latvia,41,6.1,9.1,28.06013855,,,1.33,0.41,9.04449,32.23252081
38,Bulgaria,32,8.7,9.6,27.89953943,,,1.51,0.32,9.51648,34.10981039
40,Serbia,32,6.4,9.1,26.36215802,20.23684,9.48935,1.4,0.32,9.04176,34.29825431
20,Austria,38,3.5,9.3,26.19087513,,,1.43,0.38,9.26745,35.38427011
3,Croatia,48,4.5,9.6,26.8909318,,,1.41,0.48,9.5568,35.53911805
19,Hungary,39,4.9,8.8,24.39443442,,,1.23,0.39,8.75688,35.89704049
11,Lithuania,43,4.5,10,27.22350504,,,1.55,0.43,9.955,36.56766454
36,Spain,33,3,10.1,25.41762601,,,1.34,0.33,10.0697,39.61699648
6,Denmark,45,3.5,10.6,26.25046664,,,1.75,0.45,10.5629,40.23890373
30,Malta,34,6,10,24.62496016,,,1.45,0.34,9.94,40.36554754
18,Finland,39,2.4,11.1,27.13036182,,,1.83,0.39,11.07336,40.815379
0,Sweden,52,2.5,11.8,28.75049777,16.04201,12.82797,1.9,0.52,11.7705,40.94016075
55,Romania,27,10,9.7,23.1614489,,,1.47,0.27,9.603,41.46113674
8,Estonia,44,3.3,11.1,26.23070271,,,1.61,0.44,11.06337,42.17717734
41,Bosnia and Herzegovina,31,6,8.878,20.36016635,,,1.216,0.31,8.824732,43.34312327
50,Belgium,28,3.6,11.7,26.44563656,,,1.81,0.28,11.65788,44.08243293
47,Netherlands,30,3.7,10.8,23.84006738,,,1.76,0.3,10.76004,45.1342684
22,Slovenia,38,2.5,10.7,23.6069085,,,1.56,0.38,10.67325,45.21240042
7,Czechia,44,2.6,10.4,22.88037481,,,1.43,0.44,10.37296,45.33562096
58,France,26,3.1,12.7,26.80466051,,,2.01,0.26,12.66063,47.23294293
31,Ukraine,34,9.6,11,21.63397663,,,1.459,0.34,10.8944,50.35782457
27,United Kingdom,36,4.3,12.8,25.23474979,,,1.91,0.36,12.74496,50.50559291
12,Canada,41,4.9,11,20.80613063,,,1.63,0.41,10.9461,52.60997442
35,Poland,33,4.9,10.2,19.10607759,,,1.33,0.33,10.15002,53.12456182
59,Luxembourg,26,2.3,10.9,20.21010561,,,1.52,0.26,10.87493,53.80936749
1,Belarus,51,4,11.5,20.12919087,,,1.515,0.51,11.454,56.90243625
66,South Korea,24,3.4,9.4,15.65431505,,,1.244,0.24,9.36804,59.84318043
21,Montenegro,38,5.3,11.6,19.20136867,,,1.65,0.38,11.53852,60.09217465
56,Uruguay,27,9,14.223,22.70009587,,,2.008,0.27,14.094993,62.09221793
5,Slovakia,47,5.6,11.3,17.6812894,,,1.45,0.47,11.23672,63.5514738
14,United States,41,6.1,12.7,19.81041551,15.20833,9.66667,1.8945,0.41,12.62253,63.71663429
37,Australia,32,3.8,13.6,20.59360992,,,1.926,0.32,13.54832,65.78895131
69,Albania,23,10.9,12.035,17.64713349,21.73611,3.47222,1.671,0.23,11.9038185,67.45468608
16,New Zealand,40,5.1,14,20.10701093,,,2.09,0.4,13.9286,69.27235504
15,Cyprus,40,2.8,11.507,16.06399389,,,1.36,0.4,11.4747804,71.43167805
103,Georgia,13,11.6,14.937,19.60345333,,,1.918,0.13,14.7637308,75.31188793
45,Ireland,30,3.5,16.2,17.54960629,,,2.03,0.3,16.1433,91.986679
80,Thailand,21,11.1,11.95,12.75558828,,,1.597,0.21,11.817355,92.64453148
43,Moldova,31,14.5,13.864,14.54339133,,,1.66,0.31,13.662972,93.94625843
102,Armenia,14,15.7,14.046,14.58161034,,,1.5,0.14,13.8254778,94.81447852
33,Chile,33,7.3,14.109,14.50602687,,,1.823,0.33,14.0060043,96.55300124
4,Singapore,47,2.2,9.5,9.577554542,,,1.2,0.47,9.4791,98.97202839
28,Mauritius,35,12.7,11.7,11.05395411,,,1.55,0.35,11.55141,104.5002529
57,Argentina,26,12.4,17.806,16.61060181,,,2.338,0.26,17.5852056,105.8673599
51,China,28,11.5,13.27,12.10230266,,,1.668,0.28,13.117395,108.3875967
2,Israel,50,3.5,21.4,16.34848768,,,2.98,0.5,21.3251,130.4408115
52,Costa Rica,27,8.9,15.772,11.28565178,,,1.902,0.27,15.6316292,138.508874
83,Kosovo,20,16.9,16.312,10.98635204,,,1.992,0.2,16.0363272,145.9658961
42,Brazil,31,16,15.309,10.29452849,,,1.8,0.31,15.064056,146.3307039
86,Sri Lanka,19,9.3,17.512,11.65324409,,,2.206,0.19,17.3491384,148.8781859
62,El Salvador,25,15.7,19.372,11.30505669,,,2.224,0.25,19.0678596,168.6666429
65,Peru,24,14.8,20.75,11.62374038,,,2.542,0.24,20.4429,175.8719597
70,Colombia,23,15.3,16.609,9.100233222,,,1.958,0.23,16.3548823,179.7193753
